Control #,Rec #,Lang,Source Audio ISBN-13,Course,Unit Num,start,stop,QZ #,line #,Speaker,Cue,Transliteration,#of words,Q or S,Course Name (Source),Snippet Name,Skills
74,74,JP,9781442310964,Japanese 3,4,,,03R,,M2,お飲物は？,onomimono wa?,2,Q,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0074.mp3,"6,9,13"
75,75,JP,9781442310964,Japanese 3,4,,,04Q,,N,Which do you prefer?,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0075.mp3,"9,16"
76,76,JP,9781442310964,Japanese 3,4,,,04R,,M2,どちらの方がいいですか。,dochira no hoo ga ii desu ka.,7,Q,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0076.mp3,"9,16"
77,77,JP,9781442310964,Japanese 3,4,,,05Q,,N,I'll have wine.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0077.mp3,"6,9"
78,78,JP,9781442310964,Japanese 3,4,,,05R,,M,ワインにします。,wain ni shimasu.,3,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0078.mp3,"6,9"
79,79,JP,9781442310964,Japanese 3,4,,,06Q,,N,I'm planning to go to a Japanese language school.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0079.mp3,"9,15"
80,80,JP,9781442310964,Japanese 3,4,,,06R,,M,日本語の学校へ行くつもりです。,nihongo no gakko e iku tsumori desu.,7,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0080.mp3,"9,15"
81,81,JP,9781442310964,Japanese 3,4,,,07Q,,N,What do you do? (polite),,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0081.mp3,"7,9,13"
82,82,JP,9781442310964,Japanese 3,4,,,07R,,M,何をなさっていますか。,nani o nasatte imasu ka.,5,Q,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0082.mp3,"7,9,13"
83,83,JP,9781442310964,Japanese 3,4,,,08Q,,N,I came to this restaurant last week also.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0083.mp3,"1,5,17"
84,84,JP,9781442310964,Japanese 3,4,,,08R,,F,先週もこのレストランに来ました。,senshuu mo kono resutoran ni kimashita.,6,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0084.mp3,"1,5,17"
85,85,JP,9781442310964,Japanese 3,4,,,09Q,,N,Where did your friend come from? (polite),,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0085.mp3,"5,13"
86,86,JP,9781442310964,Japanese 3,4,,,09R,,M,お友達はどちらからいらっしゃいましたか。,otomodachi wa dochira kara irrashaimashita ka.,6,Q,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0086.mp3,"5,13"
87,87,JP,9781442310964,Japanese 3,4,,,10Q,,N,"Red wine or white wine, which do you prefer?",,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0087.mp3,"6,9"
